wn,1,2,3,4,5,6
3929.63,-5.06726,5.06726,20.269,20.269,152.018,101.345
3929.13,45.5987,15.1996,-70.9314,75.9979,91.1975,116.53
3928.64,45.5922,-10.1316,-45.5922,60.7896,50.658,70.9212
3928.15,35.4555,-5.06507,75.976,116.497,25.3253,75.976
3927.65,65.8364,-10.1287,35.4504,45.5791,55.7077,106.351
3927.16,35.4453,0,35.4453,96.2086,25.318,15.1908
3926.67,25.3144,15.1886,35.4402,55.6917,60.7546,30.3773
3926.17,55.6837,20.2486,-40.4972,35.4351,75.9323,15.1865
3925.68,35.43,0,10.1228,86.0442,80.9828,70.8599
3925.18,15.1821,-10.1214,-30.3642,35.4249,80.9711,-15.1821
3924.69,50.5996,-15.1799,55.6596,65.7795,121.439,40.4797
3924.2,60.7108,10.1185,0,75.8885,-15.1777,15.1777
3923.7,131.521,-5.05851,-25.2925,60.7021,15.1755,-55.6436
3923.21,50.5778,-10.1156,-60.6933,35.4045,10.1156,35.4045
3922.71,60.6846,-15.1712,0,106.198,40.4564,55.6276
3922.22,0,10.1126,15.169,40.4506,60.6759,-5.05632
3921.72,30.3336,-10.1112,70.7783,40.4448,65.7227,75.8339
3921.23,40.4389,10.1097,40.4389,20.2195,5.05487,40.4389
3920.74,20.2166,-5.05414,25.2707,40.4331,-30.3248,25.2707
3920.24,40.4273,30.3205,35.3739,75.8011,-65.6943,55.5875
3919.75,50.5268,10.1054,45.4741,0,-20.2107,0
3919.25,65.6754,5.05195,50.5195,126.299,131.351,-30.3117
3918.76,35.3586,0,-30.3074,85.8708,60.6147,-15.1537
3918.26,70.707,15.1515,55.5555,-15.1515,15.1515,35.3535
3917.77,35.3484,5.04977,80.7963,90.8959,-40.3982,90.8959
3917.27,50.4904,-5.04904,70.6866,0,50.4904,80.7847
3916.78,55.5315,-15.1449,55.5315,80.773,45.4348,85.8214
3916.28,65.6186,-5.04759,80.7614,25.2379,45.4283,5.04759
3915.79,35.328,15.1406,-25.2343,30.2812,70.656,45.4217
