wn,1,2,3,4,5,6
3542.67926,0.16333,0.16696,0.16849,0.18736,0.18389,0.16374
3540.75075,0.1652,0.16878,0.17032,0.18904,0.18579,0.16573
3538.82223,0.16716,0.17069,0.17211,0.19081,0.18775,0.16776
3536.89372,0.16919,0.17261,0.17391,0.19261,0.18982,0.16974
3534.96521,0.17118,0.17455,0.17571,0.19437,0.19186,0.17162
3533.03669,0.17308,0.17656,0.17748,0.19611,0.19379,0.17349
3531.10818,0.17492,0.17858,0.17923,0.19786,0.19566,0.17541
3529.17967,0.17686,0.18052,0.18105,0.19955,0.1976,0.17737
3527.25115,0.1789,0.18239,0.18292,0.20119,0.19962,0.17934
3525.32264,0.18092,0.18429,0.18479,0.20285,0.20171,0.18129
3523.39413,0.18291,0.18633,0.18665,0.20461,0.20377,0.18326
3521.46561,0.18492,0.18835,0.18844,0.20647,0.20574,0.18522
3519.5371,0.18689,0.1902,0.1902,0.20835,0.20761,0.18714
3517.60859,0.18881,0.19198,0.19205,0.21022,0.20954,0.18913
3515.68007,0.1908,0.19389,0.194,0.212,0.21155,0.19125
3513.75156,0.19283,0.19587,0.19591,0.21374,0.21357,0.19335
3511.82305,0.19478,0.19778,0.19773,0.21547,0.21565,0.19531
3509.89453,0.19664,0.19962,0.19947,0.21715,0.21777,0.19717
3507.96602,0.19856,0.20155,0.2012,0.21881,0.21978,0.19903
3506.03751,0.20059,0.2036,0.20297,0.22056,0.22169,0.20096
3504.10899,0.2026,0.20565,0.20478,0.22243,0.22367,0.20296
3502.18048,0.20455,0.20767,0.20661,0.2243,0.22571,0.205
3500.25197,0.20656,0.20965,0.20843,0.2261,0.22764,0.20698
3498.32345,0.20863,0.21152,0.21025,0.22789,0.22952,0.20894
3496.39494,0.21066,0.21338,0.21207,0.22972,0.2315,0.21099
3494.46642,0.21262,0.2153,0.2139,0.23151,0.23357,0.21307
3492.53791,0.21461,0.2173,0.21573,0.2332,0.23565,0.21506
3490.6094,0.21668,0.21927,0.2175,0.23486,0.23769,0.21702
3488.68088,0.21876,0.22123,0.21923,0.23657,0.23965,0.21905
3486.75237,0.22081,0.22328,0.22096,0.2384,0.24159,0.22115
3484.82386,0.22278,0.22537,0.22271,0.24033,0.24359,0.22319
3482.89534,0.22469,0.22732,0.22451,0.24221,0.24567,0.22506
3480.96683,0.22656,0.22916,0.22641,0.24396,0.24777,0.22689
3479.03832,0.22841,0.23103,0.22829,0.24566,0.2499,0.22879
3477.1098,0.23029,0.23297,0.23007,0.24739,0.25205,0.23076
3475.18129,0.2323,0.23494,0.23183,0.24915,0.25412,0.23278
3473.25278,0.23448,0.23694,0.23363,0.25095,0.25615,0.23488
3471.32426,0.23673,0.239,0.23546,0.25279,0.25821,0.23704
3469.39575,0.23882,0.24107,0.23727,0.25462,0.26025,0.2391
3467.46724,0.24069,0.24307,0.23906,0.2564,0.26228,0.24107
3465.53872,0.2426,0.24505,0.24089,0.25814,0.2644,0.24311
3463.61021,0.24465,0.24704,0.24274,0.25989,0.26662,0.2452
3461.6817,0.24676,0.24909,0.24455,0.26163,0.26878,0.24724
3459.75318,0.24892,0.25116,0.24631,0.26343,0.27085,0.24926
3457.82467,0.25113,0.25316,0.24804,0.26524,0.27288,0.25126
3455.89616,0.2532,0.25505,0.24974,0.26702,0.27491,0.25326
3453.96764,0.25512,0.25692,0.25145,0.26877,0.27694,0.25531
3452.03913,0.25706,0.25888,0.25317,0.27052,0.27897,0.25736
3450.11061,0.25909,0.26094,0.25485,0.27232,0.28101,0.25935
3448.1821,0.26111,0.26304,0.25654,0.2741,0.28305,0.26142
3446.25359,0.2631,0.2651,0.25839,0.27583,0.28513,0.26357
3444.32507,0.26511,0.26708,0.26033,0.27757,0.28722,0.26563
3442.39656,0.26713,0.26898,0.2621,0.27931,0.28925,0.26752
3440.46805,0.26907,0.27084,0.26368,0.28102,0.29128,0.26939
3438.53953,0.27101,0.27278,0.26525,0.28269,0.29337,0.27143
3436.61102,0.27307,0.27482,0.26693,0.28427,0.29549,0.2736
3434.68251,0.27518,0.27682,0.26865,0.28581,0.29758,0.27567
3432.75399,0.27723,0.27871,0.27032,0.28748,0.29962,0.27763
3430.82548,0.27927,0.28062,0.27198,0.2893,0.30163,0.27955
3428.89697,0.28127,0.28256,0.27361,0.29116,0.30362,0.28147
3426.96845,0.28317,0.28448,0.27521,0.29299,0.30559,0.28337
3425.03994,0.28505,0.28644,0.27684,0.29481,0.30755,0.28532
3423.11143,0.287,0.28845,0.27853,0.29654,0.30954,0.28731
3421.18291,0.28901,0.2904,0.28016,0.29814,0.31157,0.28928
3419.2544,0.29096,0.29222,0.28165,0.29963,0.31352,0.29116
3417.32589,0.29281,0.29395,0.28309,0.3011,0.31538,0.29295
3415.39737,0.29462,0.29562,0.28456,0.30254,0.31721,0.29476
3413.46886,0.29639,0.29727,0.28598,0.30399,0.31903,0.29667
3411.54035,0.29816,0.29898,0.28736,0.30549,0.32086,0.29865
3409.61183,0.29997,0.3008,0.28877,0.30699,0.32268,0.30059
3407.68332,0.3017,0.30259,0.29007,0.30844,0.32448,0.3023
